,sum_sq,df,F,PR(>F)
C(LayoutType),896539.5818081413,1.0,4.471979907606687,0.035173860078201995
C(Table),481071.3161215124,5.0,0.47992108847720527,0.7912241705133379
C(LayoutType):C(Table),384050.63148260594,5.0,0.383132377497508,0.8602816791858022
Residual,68964893.07060756,344.0,,
